,Unnamed: 0,scenario,mmsi,ship_type,width,length,draught,nav_status,timestamp,lat,lon,sog,cog,timestamp_obj,ts_mmsi,R_x,R_y,theta,V_x,V_y,f_min,DDV,TDV,V_TDV,V_chg,cog_TDV,cog_chg,theta_rad,distance,ts_dot,DDV_dot,cog_dot,sog_dot,distance_dot
218,218,16edbf14f3,636014191,Tanker,44.0,250.0,14.4,4,1577860140.0,55.986524090909086,11.047963818181817,12.4,37.47272727272744,2020-01-01 07:29:00,248660000,0.7640929618335751,-0.1306701622237541,171.92727272727257,-41.99201708458261,-27.546529102906177,0.3959546428388571,0.6040453571611428,0.0032176831390938,12.4,0.0,37.50000000000017,0.0272727272727308,3.0006969830651573,0.7751856201060411,60.0,-0.0006106732736774015,0.033333333333333805,0.0,-0.05990331990905793
229,229,25817f4541,246866000,Cargo,30.0,180.0,10.2,0,1577878140.0,56.169195,11.257748,11.083333333333332,222.4333333333333,2020-01-01 12:29:00,266476000,-5.899645500941823,-4.262572125775318,156.9666666666667,37.97610879689988,22.31047218432516,0.6241960134760517,0.3758039865239483,0.1709460039761113,11.4,0.0285714285714287,225.4,2.966666666666697,2.7395851492137666,7.278415910362625,60.0,0.04517175686251738,0.7833333333333362,0.013888888888888692,-0.0628602953483403
235,235,25817f4541,246866000,Cargo,30.0,180.0,10.2,0,1577878200.0,56.16695427272728,11.253857636363636,11.1,224.2,2020-01-01 12:30:00,266476000,-5.5779206627221205,-4.065313493698148,156.8,37.24536841597863,23.401842835002896,0.4257986705785943,0.5742013294214057,0.1607047998041309,11.4,0.027027027027027,225.3,1.1000000000000227,2.736676267127109,6.902171594626333,60.0,0.03306622381624289,0.2944444444444467,0.002777777777777916,-0.06270738595604868
241,241,25817f4541,246866000,Cargo,30.0,180.0,10.2,0,1577878260.0,56.16477627272727,11.24992809090909,11.1,225.4272727272728,2020-01-01 12:31:00,266476000,-5.268792037764832,-3.834218458825368,161.5727272727272,35.9265503656816,25.960206672046137,0.0198004286941299,0.98019957130587,0.1472100077780037,11.4,0.027027027027027,225.389604252,-0.0376684752727669,2.819976072335928,6.516241303635959,60.0,0.06766637364741072,0.20454545454546746,0.0,-0.06432171516506235
247,247,25817f4541,246866000,Cargo,30.0,180.0,10.2,0,1577878320.0,56.16269490909091,11.245910727272726,11.1,226.9636363636364,2020-01-01 12:32:00,266476000,-4.9672767265385405,-3.609038943842276,159.0363636363636,35.987668335454,26.14120324199331,0.0006047402355919,0.999395259764408,0.138043872008159,11.4,0.027027027027027,225.55798282499995,-1.405653538636443,2.7757081758535267,6.139951154217891,60.0,0.0031992814097563382,0.25606060606060055,0.0,-0.06271502490301135
253,253,25817f4541,246866000,Cargo,30.0,180.0,10.2,0,1577878380.0,56.16057363636364,11.241856545454546,11.1,227.11818181818185,2020-01-01 12:33:00,266476000,-4.662255793083594,-3.3688241958025325,165.5818181818181,34.47544553165721,28.517231683387838,0.6607886358160384,0.3392113641839616,0.1229974389171447,11.4,0.027027027027027,225.5879846333333,-1.5301971848485607,2.8899479087113367,5.752008826694038,60.0,-0.11003064926340773,0.025757575757576017,0.0,-0.06465705458730886
259,259,25817f4541,246866000,Cargo,30.0,180.0,10.2,0,1577878440.0,56.158407636363634,11.237860272727271,11.2,225.7363636363636,2020-01-01 12:34:00,266476000,-4.366329143376936,-3.123721006743408,167.2636363636364,34.921314371276864,28.401227760792064,0.5973372478792325,0.4026627521207675,0.1142049273215861,11.4,0.0178571428571429,225.68182897254545,-0.0545346638181456,2.9193011734039707,5.368655615354072,60.0,0.01057523132280099,-0.23030303030304347,0.016666666666666607,-0.06389220188999427
265,265,25817f4541,246866000,Cargo,30.0,180.0,10.2,0,1577878500.0,56.15623154545455,11.233903181818182,11.3,224.81818181818184,2020-01-01 12:35:00,266476000,-4.063626229859063,-2.8780675548364303,167.18181818181813,35.637552124426975,28.01519541235858,0.4526529569978766,0.5473470430021233,0.1060507538790693,11.4,0.0088495575221238,225.48415365333332,0.6659718351515096,2.9178731767432464,4.9795914477194545,60.0,0.02411404848022597,-0.15303030303029175,0.016666666666666902,-0.06484402793910293
271,271,25817f4541,246866000,Cargo,30.0,180.0,10.2,0,1577878560.0,56.15393318181818,11.229949272727271,11.3,224.91818181818184,2020-01-01 12:36:00,266476000,-3.7527102364563927,-2.6325497406959504,167.08181818181816,35.66545538424758,28.07670202860061,0.4591938421955084,0.5408061578044916,0.0971295530187478,11.4,0.0088495575221238,225.58666391,0.6684820918181629,2.9161278474912526,4.5840104991200565,60.0,-0.0010901475329386234,0.01666666666666572,0.0,-0.06593015809989966
277,277,25817f4541,246866000,Cargo,30.0,180.0,10.2,0,1577878620.0,56.151691909090914,11.225921272727271,11.4,225.28181818181812,2020-01-01 12:37:00,266476000,-3.448221562605424,-2.387118925964958,166.71818181818185,35.70348083623007,28.31323028252602,0.491228638801528,0.5087713611984719,0.0879084780327421,11.4,0.0,225.84901898303028,0.5672008012121239,2.9097811956658197,4.193872758145755,60.0,-0.005339132767669952,0.06060606060604812,0.016666666666666607,-0.06502295682905028
